Year;DOY;millisecs;B;Bx;By;Bz;Btheta;Bphi;Vx;Vy;Vz;Np
2005;163;28300253;23.95;-14.63;17.33;7.68;18.72;130.18;-365.0;-39.1;-28.5;38.1
2005;163;28399031;23.68;-14.14;17.40;7.54;18.59;129.09;-367.0;-43.1;-25.1;35.9
2005;163;28497806;23.89;-14.42;17.33;7.87;19.25;129.77;-364.9;-43.9;-28.3;35.7
2005;163;28595064;23.99;-14.06;17.86;7.63;18.56;128.22;-363.5;-47.9;-21.7;33.6
2005;163;28689283;24.11;-13.94;18.06;7.80;18.87;127.68;-366.2;-44.2;-23.7;33.3
2005;163;28786541;23.88;-13.72;18.06;7.45;18.18;127.22;-365.1;-49.0;-20.1;34.5
2005;163;28880898;23.86;-14.54;17.38;7.37;18.01;129.93;-363.5;-50.0;-19.1;34.1
2005;163;28982574;24.23;-13.62;18.32;7.81;18.89;126.63;-364.1;-50.5;-26.4;34.0
2005;163;29080667;24.20;-12.17;19.67;7.07;17.00;121.74;-368.2;-58.4;-24.8;31.8
2005;163;29180964;23.91;-12.76;19.70;4.41;10.63;122.93;-369.2;-58.9;-17.5;31.9
2005;163;29278222;23.63;-12.31;19.05;5.99;14.79;122.88;-369.0;-56.9;-20.1;31.7
2005;163;29373123;23.56;-12.97;17.82;7.95;19.82;126.05;-360.9;-38.3;-39.5;36.8
2005;163;29474255;24.04;-14.84;17.21;7.75;18.82;130.76;-363.5;-48.8;-26.6;27.7
2005;163;29570675;24.29;-14.63;17.92;7.24;17.39;129.22;-363.6;-55.5;-18.6;27.8
2005;163;29664892;24.32;-13.56;18.35;8.38;20.16;126.46;-366.4;-60.1;-16.2;28.5
